v,w,t
-0.0003926948343409654,0.0019392452449950661,1579539753.1128895
-0.0011126537413596689,0.003272502480214887,1579539753.1634493
-0.00183260171224331,0.004605739463332741,1579539753.2140167
-0.002552542021158198,0.0059389622576195705,1579539753.264432
-0.0032724930262304714,0.007272204859605262,1579539753.3149552
-0.0032724930262304714,0.007272204859605262,1579539753.3656511
-0.0033379430512705827,0.007151001109530982,1579539753.4163442
-0.0034033925451135293,0.007029798343155156,1579539753.466988
-0.0034688429116941652,0.006908593960598422,1579539753.5176096
-0.003534292404012454,0.006787391197046036,1579539753.5681539
-0.0027488976395504067,0.00509055118434676,1579539753.6188757
-0.0011780962707590885,0.004848117618090485,1579539753.6694744
0.0003927022977370431,0.004605714734402929,1579539753.7199874
0.001963493595049024,0.004363326540649487,1579539753.7604043
0.003534285929258631,0.00412090615549035,1579539753.8108552
0.006937689609660645,0.00048479111232782937,1579539753.8613036
0.013744447699134372,0.0031512561758509057,1579539753.9118292
0.020551224837317885,0.005817728701438938,1579539753.9624426
0.027358033963213353,0.008484213757935125,1579539754.0131025
0.03416486438997131,0.011150707158660695,1579539754.0636902
0.04489860734947956,0.006544992647410409,1579539754.114176
0.05713779627351111,0.004726945012558862,1579539754.1647336
0.0693769184711968,0.0029088902023444926,1579539754.2154057
0.08161597457090985,0.0010908385414042225,1579539754.2659338
0.09385512881129753,-0.0007272056515144239,1579539754.3164763
0.1080578237613272,-0.0061813934947217,1579539754.3669822
0.12651452015408354,-0.0037573524737839104,1579539754.4177654
0.14497146276638456,-0.0013332654640979282,1579539754.4682531
0.16342811817256817,0.0010907575889220408,1579539754.5188735
0.18188483272279674,0.003514788507093681,1579539754.569381
0.20871930632511,-0.009575197260538003,1579539754.6098056
0.2473347203047273,-0.0008485373027819539,1579539754.6604836
0.2859501627536989,0.007878114739739829,1579539754.710854
0.3245655022251634,0.016604737034412374,1579539754.7615988
0.3631817668520347,0.025331521066191326,1579539754.811964
0.4040218886964989,0.029937335218078204,1579539754.862437
0.4433581159293968,0.03175549710945531,1579539754.9129016
0.48269263154234027,0.033573450868635224,1579539754.9633718
0.5220279930583442,0.03539151922492132,1579539755.013924
0.5613630216437522,0.0372095443695534,1579539755.064504
0.5971646327407473,0.045572511215464497,1579539755.114957
0.6196791195745038,0.029331264214516768,1579539755.1655793
0.6421591071546966,0.013093856215293728,1579539755.2161868
0.6647094716317816,-0.003151322012789757,1579539755.266818
0.6872223534288115,-0.01939260732860493,1579539755.3171694
0.7011639619917722,-0.019756275384562406,1579539755.3678148
0.7155618344610394,-0.019271573196719564,1579539755.4181988
0.7299616291632389,-0.018786671789973848,1579539755.4688442
0.7443618833806652,-0.018301735266375744,1579539755.51943
0.758760749324362,-0.017816925298986215,1579539755.5700197
0.77224334304827,-0.015635232475842233,1579539755.6105976
0.7861832432421825,-0.01260510283396934,1579539755.661176
0.8001588371211856,-0.009578876363472436,1579539755.7117522
0.8140646290937262,-0.00654487758588898,1579539755.7624257
0.8280062440507979,-0.0035148903494062332,1579539755.8129916
0.8435175418996029,-0.0033936660051307158,1579539755.8635988
0.8526156173820124,-0.015150366018553477,1579539755.914149
0.861713509809855,-0.026907125073132886,1579539755.9648337
0.8708101014343237,-0.03866397000362586,1579539756.0155067
0.8799074297667652,-0.0504206165983673,1579539756.0660481
0.8831143719480576,-0.05126903440764458,1579539756.1165996
0.8904458013229267,-0.04448170964814638,1579539756.1671395
0.8977759118714643,-0.03769431860851061,1579539756.217694
0.9051059826799753,-0.03090689750113956,1579539756.2682512
0.912436046615153,-0.024119525360005167,1579539756.3188188
0.9236288408614264,-0.024483180378468375,1579539756.369343
0.9370454952494311,-0.020725865071698525,1579539756.4197273
0.9504612708819401,-0.016968531763320686,1579539756.4601486
0.9638794753217378,-0.013211223870757752,1579539756.5105975
0.977297393725347,-0.00945395365087685,1579539756.5610566
0.994706495095961,-0.013090001798484751,1579539756.611602
1.0136214399089907,-0.01393842546934646,1579539756.6620734
1.032537399540311,-0.014786841122050726,1579539756.7126684
1.0514525101637184,-0.015635265889868983,1579539756.7633061
1.0703668148076793,-0.016483689157479962,1579539756.8137124
1.0927494695474755,-0.023755815951949005,1579539756.864156
1.1184067288248964,-0.02496785972842253,1579539756.9146585
1.1440646054551458,-0.026179907452190065,1579539756.9651465
1.1697190474355788,-0.027391924209839075,1579539757.0156796
1.1953749224278485,-0.02860395154500279,1579539757.0662422
1.2190037623542178,-0.026058789680794038,1579539757.1169329
