v_c,w_c,v,w,v_out,w_out,dt,dt_msg
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050039208,-0.04347816400000004
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049983388,-0.026664761000000037
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049982214,-0.04160273400000003
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.100012029,-0.01850859199999999
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.04997233,-0.03452623300000002
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050013838,-0.022627418999999982
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050007588,-0.033364831999999955
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049988784,-0.016441129000000054
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050017272,-0.027597772999999992
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049984912,-0.008369811000000005
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049996145,-0.030325771
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049998881,-0.014250992000000018
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050000787,-0.028502105000000055
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050228496,-0.008969523999999951
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049770965,-0.02327760599999995
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.05003775,-0.004172996999999956
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.04998643,-0.01607955400000005
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049987185,-0.009001276000000002
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049990276,-0.02302090400000001
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.05017782,-0.03700629200000005
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049796709,-0.02107145899999996
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.05005308,-0.03201729600000003
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049972392,-0.013086048999999988
