v_c,w_c,t_c
0.0,0.0,1579387221.412879
-0.0,-0.0749964714050293,1579387221.473811
-0.0,-0.08749588578939438,1579387221.505102
-0.0,-0.10624473541975021,1579387221.580052
-0.0,-0.0749964714050293,1579387221.65277
-0.0,-0.08749588578939438,1579387221.71385
-0.0,-0.0749964714050293,1579387221.744594
-0.0,-0.08749588578939438,1579387221.819645
0.23123912513256073,-0.05624708533287048,1579387221.892491
0.5624732971191406,-0.0749964714050293,1579387221.953515
0.6874673962593079,-0.0749964714050293,1579387221.984542
0.7937121391296387,-0.05624708533287048,1579387222.05952
0.81871098279953,-0.0749964714050293,1579387222.132567
0.806211531162262,-0.0749964714050293,1579387222.193528
0.7812127470970154,-0.08749588578939438,1579387222.2246
0.7937121391296387,-0.0749964714050293,1579387222.299635
0.7937121391296387,-0.0749964714050293,1579387222.372555
0.81871098279953,-0.0749964714050293,1579387222.433279
0.8312103748321533,-0.08749588578939438,1579387222.466301
0.9562044739723206,-0.08749588578939438,1579387222.544223
1.106197476387024,-0.0749964714050293,1579387222.612162
1.3561854362487793,-0.0749964714050293,1579387222.673281
1.4186824560165405,-0.08749588578939438,1579387222.706338
1.506178379058838,-0.08749588578939438,1579387222.784046
1.6374222040176392,-0.08749588578939438,1579387222.852095
1.749916911125183,-0.08749588578939438,1579387222.927104
1.7624160051345825,-0.0749964714050293,1579387222.973053
1.7624160051345825,-0.08749588578939438,1579387223.002959
1.7749154567718506,-0.0749964714050293,1579387223.039018
1.7749154567718506,-0.08749588578939438,1579387223.101146
1.7749154567718506,-0.0749964714050293,1579387223.135147
1.806164026260376,-0.0749964714050293,1579387223.16783
1.806164026260376,-0.0749964714050293,1579387223.212864
1.9124089479446411,-0.0749964714050293,1579387223.278852
2.0249037742614746,-0.05624708533287048,1579387223.309066
2.1873960494995117,-0.08749588578939438,1579387223.371974
2.243643283843994,-0.08749588578939438,1579387223.452939
2.268641948699951,-0.0749964714050293,1579387223.518674
2.312390089035034,-0.0749964714050293,1579387223.548658
2.5436289310455322,-0.08749588578939438,1579387223.611779
2.6811225414276123,-0.0749964714050293,1579387223.692553
2.718620777130127,-0.08749588578939438,1579387223.758684
2.718620777130127,-0.0749964714050293,1579387223.788548
2.7498691082000732,-0.08749588578939438,1579387223.851694
2.7623684406280518,-0.0749964714050293,1579387223.883591
2.8436148166656494,-0.08749588578939438,1579387223.944501
2.8436148166656494,-0.0749964714050293,1579387223.975555
2.993607521057129,-0.0749964714050293,1579387224.053133
3.062354326248169,-0.08749588578939438,1579387224.123457
3.0748536586761475,-0.08749588578939438,1579387224.153312
3.106102228164673,-0.08749588578939438,1579387224.215423
3.106102228164673,-0.10624473541975021,1579387224.251541
3.1186017990112305,-0.08749588578939438,1579387224.292217
3.1186017990112305,-0.08749588578939438,1579387224.322372
3.131101131439209,-0.08749588578939438,1579387224.363187
-0.13016891479492188,0.015695609152317047,1579387224.42423
3.2123472690582275,-0.4187300503253937,1579387224.455392
3.293593168258667,-0.6312200427055359,1579387224.491936
3.3248419761657715,-0.6312200427055359,1579387224.532415
3.33734130859375,-0.7749630212783813,1579387224.60305
3.33734130859375,-0.7749630212783813,1579387224.633088
3.3248419761657715,-0.7937123775482178,1579387224.695173
3.3248419761657715,-0.8062118291854858,1579387224.731401
3.293593168258667,-0.7249653935432434,1579387224.772153
3.2810938358306885,-0.7062165141105652,1579387224.802118
3.2810938358306885,-0.687467098236084,1579387224.843406
-0.13016891479492188,0.015695609152317047,1579387224.904126
3.312342643737793,-0.5374741554260254,1579387224.935202
3.2560949325561523,-0.5249747633934021,1579387224.971064
3.2373461723327637,-0.5124753713607788,1579387225.012026
3.2123472690582275,-0.5249747633934021,1579387225.083059
3.2123472690582275,-0.5374741554260254,1579387225.112963
3.199847936630249,-0.5874718427658081,1579387225.174779
3.2123472690582275,-0.581222414970398,1579387225.212106
3.2123472690582275,-0.5874718427658081,1579387225.2518
3.231096029281616,-0.581222414970398,1579387225.28176
3.231096029281616,-0.581222414970398,1579387225.324569
3.199847936630249,-0.29373592138290405,1579387225.384868
3.1873483657836914,-0.2124900072813034,1579387225.41564
3.2123472690582275,-0.08749588578939438,1579387225.491583
3.2810938358306885,-0.08749588578939438,1579387225.563567
3.293593168258667,-0.05624708533287048,1579387225.593772
3.293593168258667,-0.05624708533287048,1579387225.655523
3.2810938358306885,-0.0,1579387225.691905
