x,y,theta,vel,accel,steer,omega,break
30.6213356,-96.3377221,0,0.18,0.377,0.0,-0.0013573002070188522,0.0
30.6213356,-96.3377221,0,0.11,0.377,0.0,-0.0013654627837240696,0.0
30.6213356,-96.3377221,0,0.1,0.377,0.0,-0.0022575128823518753,0.0
30.6213356,-96.3377221,0,0.16,0.375,0.0,-0.0013696688693016768,0.0
30.6213356,-96.3377221,0,0.24,0.375,0.0,-0.0001227597240358591,0.0
30.6213354,-96.337722,0,0.25,0.375,0.0,0.00017042551189661026,0.0
30.6213354,-96.337722,0,0.19,0.365,0.0,-0.00041703018359839916,0.0
30.6213354,-96.337722,0,0.16,0.337,0.0,-0.001265617087483406,0.0
30.6213354,-96.337722,0,0.18,0.312,0.0,-0.00070470932405442,0.0
30.6213354,-96.337722,0,0.24,0.25,0.0,-0.0019164339173585176,0.0
30.6213354,-96.337722,0,0.23,0.25,0.0,-0.0013535611797124147,0.0
30.621335199999997,-96.33772169999999,0,0.2,0.218,0.0,-0.002050557639449835,0.0
30.621335199999997,-96.33772169999999,0,0.16,0.209,0.0,-0.0023865571711212397,0.0
30.621335199999997,-96.33772169999999,0,0.19,0.209,0.0,-0.0009080847958102822,0.0
30.621335199999997,-96.33772169999999,0,0.23,0.209,0.0,-0.0025165555998682976,0.0
30.621335199999997,-96.33772169999999,0,0.26,0.209,0.0,-0.0009501914028078318,0.0
30.621335199999997,-96.33772169999999,0,0.24,0.209,0.0,-0.0010713805677369237,0.0
30.621334899999997,-96.3377213,0,0.23,0.209,0.0,-0.0011789557756856084,0.0
30.621334899999997,-96.3377213,0,0.22,0.209,0.0,-0.001480781240388751,0.0
30.621334899999997,-96.3377213,0,0.21,0.209,0.0,-0.0028986618854105473,0.0
30.621334899999997,-96.3377213,0,0.21,0.209,0.0,-0.0028194389306008816,0.0
30.621334899999997,-96.3377213,0,0.2,0.209,0.0,-0.0006490962114185095,0.0
30.621334899999997,-96.3377213,0,0.19,0.209,0.0,-0.0006478314753621817,0.0
30.6213345,-96.3377209,0,0.19,0.209,0.0,-0.0018314041662961245,0.0
30.6213345,-96.3377209,0,0.19,0.209,0.0,0.00039897882379591465,0.0
30.6213345,-96.3377209,0,0.18,0.209,0.0,-0.0007828263333067298,0.0
30.6213345,-96.3377209,0,0.17,0.209,0.0,-0.001975503284484148,0.0
30.6213345,-96.3377209,0,0.17,0.209,0.0,-0.002382524311542511,0.0
30.6213345,-96.3377209,0,0.16,0.209,0.0,-0.0026521312538534403,0.0
30.6213342,-96.3377206,0,0.16,0.209,0.0,-0.0007383071351796389,0.0
30.6213342,-96.3377206,0,0.16,0.209,0.0,-0.0022381253074854612,0.0
30.6213342,-96.3377206,0,0.16,0.209,0.0,-0.00046110968105494976,0.0
30.6213342,-96.3377206,0,0.16,0.209,0.0,-0.00037049688398838043,0.0
30.6213342,-96.3377206,0,0.16,0.209,0.0,-0.001032769214361906,0.0
30.6213342,-96.3377206,0,0.18,0.209,0.0,-0.00022646342404186726,0.0
30.621333999999997,-96.33772019999999,0,0.23,0.209,0.0,-0.0014747127424925566,0.0
30.621333999999997,-96.33772019999999,0,0.25,0.209,0.0,-0.0008955225348472595,0.0
30.621333999999997,-96.33772019999999,0,0.25,0.209,0.0,-0.0026150525081902742,0.0
30.621333999999997,-96.33772019999999,0,0.25,0.209,0.0,-0.0014738994650542736,0.0
30.621333999999997,-96.33772019999999,0,0.25,0.209,0.0,-0.001230404945090413,0.0
30.621333999999997,-96.33772019999999,0,0.24,0.209,0.0,0.00032100966200232506,0.0
30.621333699999997,-96.3377199,0,0.24,0.209,0.0,-0.0012466935440897942,0.0
30.621333699999997,-96.3377199,0,0.23,0.209,0.0,-0.0009716907516121864,0.0
30.621333699999997,-96.3377199,0,0.23,0.209,0.0,-0.0027104425244033337,0.0
30.621333699999997,-96.3377199,0,0.22,0.209,0.0,-0.0013488560216501355,0.0
30.621333699999997,-96.3377199,0,0.22,0.209,0.0,-0.000628047389909625,0.0
30.621333699999997,-96.3377199,0,0.21,0.209,0.0,-0.0004773710388690233,0.0
30.6213335,-96.3377196,0,0.21,0.209,0.0,-0.00023014401085674763,0.0
30.6213335,-96.3377196,0,0.2,0.209,0.0,-0.0010841221082955599,0.0
30.6213335,-96.3377196,0,0.2,0.209,0.0,0.0006359128747135401,0.0
30.6213335,-96.3377196,0,0.19,0.209,0.0,-0.0004010112024843693,0.0
30.6213335,-96.3377196,0,0.19,0.209,0.0,-0.00166431930847466,0.0
30.6213335,-96.3377196,0,0.18,0.209,0.0,-0.0018214952433481812,0.0
30.6213332,-96.33771929999999,0,0.17,0.209,0.0,-0.002184813842177391,0.0
30.6213332,-96.33771929999999,0,0.17,0.209,0.0,-0.0012462515151128173,0.0
30.6213332,-96.33771929999999,0,0.17,0.209,0.0,-0.00125616486184299,0.0
30.6213332,-96.33771929999999,0,0.16,0.209,0.0,-0.0016657263040542603,0.0
30.6213332,-96.33771929999999,0,0.16,0.209,0.0,-0.002507972065359354,0.0
30.6213332,-96.33771929999999,0,0.16,0.209,0.0,-0.0008576089749112725,0.0
30.6213329,-96.33771899999999,0,0.16,0.209,0.0,-0.001632385072298348,0.0
30.6213329,-96.33771899999999,0,0.16,0.209,0.0,0.0005330222193151712,0.0
30.6213329,-96.33771899999999,0,0.16,0.209,0.0,-0.0006429031491279602,0.0
30.6213329,-96.33771899999999,0,0.17,0.209,0.0,-0.0018777977675199509,0.0
30.6213329,-96.33771899999999,0,0.17,0.209,0.0,-0.0005819096695631742,0.0
30.6213329,-96.33771899999999,0,0.19,0.209,0.0,-0.0019027774687856436,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,-0.0006925372872501612,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,0.0004890558775514364,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,-0.00032906467095017433,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,-0.001176438177935779,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,-0.0017679166048765182,0.0
30.6213326,-96.3377187,0,0.2,0.209,0.0,-0.002294173464179039,0.0
30.6213324,-96.3377184,0,0.2,0.209,0.0,-0.0014347071992233396,0.0
30.6213324,-96.3377184,0,0.2,0.209,0.0,-0.0011289373505860567,0.0
30.6213324,-96.3377184,0,0.19,0.209,0.0,-0.0006331286858767271,0.0
30.6213324,-96.3377184,0,0.19,0.209,0.0,-0.00030151265673339367,0.0
30.6213324,-96.3377184,0,0.19,0.209,0.0,-0.0005654350388795137,0.0
30.6213324,-96.3377184,0,0.19,0.209,0.0,-0.000608131056651473,0.0
